epoch,loss,data_loss,pde_loss,loss_E_bc,loss_dE_bc
207,0.0459883026778698,0.20573216676712036,0.04598613083362579,1.3106185581257535e-10,2.172228960262146e-06
208,0.050923798233270645,0.2055208534002304,0.05092214047908783,9.606897916070167e-11,1.6571069636484026e-06
209,0.046624235808849335,0.20798353850841522,0.0466216504573822,1.3792307573812224e-10,2.583783043519361e-06
210,0.04614312946796417,0.2068059891462326,0.046141915023326874,7.037474769600038e-11,1.2138824558860506e-06
211,0.0462234690785408,0.20434629917144775,0.046222228556871414,7.184704914342532e-11,1.240481765307777e-06
212,0.04458993673324585,0.20671065151691437,0.04458746314048767,9.277102003268922e-11,2.4734292765060673e-06
213,0.04891232028603554,0.20442970097064972,0.048910677433013916,8.932732331601301e-11,1.6421116697529214e-06
214,0.038154907524585724,0.20880888402462006,0.038154035806655884,6.957847492605751e-11,8.731964840080764e-07
215,0.04465658217668533,0.20704226195812225,0.04465486854314804,8.203065310352642e-11,1.715276653158071e-06
216,0.04428262636065483,0.2035166472196579,0.04427929222583771,1.064778334947114e-10,3.333813083372661e-06
217,0.040122613310813904,0.207808718085289,0.04012024775147438,1.325231868687382e-10,2.3666530069021974e-06
218,0.04543139040470123,0.2040887475013733,0.04542873799800873,1.215579997770888e-10,2.6538953079580097e-06
219,0.04106016084551811,0.20284773409366608,0.041057854890823364,1.2632814239132983e-10,2.3062357286107726e-06
220,0.04831370711326599,0.2100050449371338,0.04831220209598541,1.1718559456141975e-10,1.5052388562253327e-06
221,0.046851541846990585,0.20442719757556915,0.0468490794301033,9.447041066090733e-11,2.463151986376033e-06
222,0.04104679077863693,0.20849090814590454,0.04104547202587128,6.851722661460613e-11,1.317512783316488e-06
223,0.043184880167245865,0.20472204685211182,0.04318304732441902,1.0031013519817833e-10,1.8318630736757768e-06
224,0.04202680662274361,0.20354698598384857,0.042023614048957825,1.0306585446206995e-10,3.1914105420582928e-06
225,0.04348224401473999,0.20821504294872284,0.04348008334636688,1.0230015445866769e-10,2.1624721284752013e-06
226,0.04642906039953232,0.20829062163829803,0.046427540481090546,1.2143108740758635e-10,1.5187837334451615e-06
227,0.039026904851198196,0.2043711394071579,0.03902518004179001,9.159278890891187e-11,1.7257100353162969e-06
228,0.04173411428928375,0.20951789617538452,0.04173107445240021,1.3469252102549234e-10,3.039133162019425e-06
229,0.03918123617768288,0.206618532538414,0.03917958214879036,7.503703908229298e-11,1.6533821280972916e-06
230,0.042246609926223755,0.20631717145442963,0.04224497079849243,8.101273818450494e-11,1.6395312059103162e-06
231,0.04294901713728905,0.205557182431221,0.04294663667678833,1.0346679069073161e-10,2.3806669560144655e-06
232,0.03583398088812828,0.20778729021549225,0.03583216294646263,7.108587329884841e-11,1.8195477196059073e-06
233,0.04321535676717758,0.20474763214588165,0.04321373999118805,7.928002004886636e-11,1.6160955738087068e-06
234,0.04801333323121071,0.20937468111515045,0.048010438680648804,1.2893942857861163e-10,2.893271130233188e-06
235,0.0334615558385849,0.20607443153858185,0.033458612859249115,1.0335127198501937e-10,2.9423392788885394e-06
236,0.03645792230963707,0.20926840603351593,0.036454781889915466,1.1551729017789114e-10,3.1395629775943235e-06
237,0.03784092888236046,0.205791637301445,0.03783946484327316,8.642820487070324e-11,1.4658762665931135e-06
238,0.03660615533590317,0.20350027084350586,0.03660400211811066,8.649897464962919e-11,2.1531900529225823e-06
239,0.046506378799676895,0.20418183505535126,0.046504925936460495,1.3439974133611088e-10,1.4524462130793836e-06
240,0.04070788249373436,0.20492379367351532,0.040706224739551544,7.062511686584116e-11,1.6563028566451976e-06
241,0.04108046367764473,0.2058192938566208,0.0410788431763649,8.261118178420901e-11,1.6211588445003144e-06
242,0.04018699377775192,0.2063526064157486,0.04018394649028778,1.3184187075410136e-10,3.0458263609034475e-06
243,0.03266923129558563,0.2072969228029251,0.03266676887869835,1.1010980321968233e-10,2.4618798306619283e-06
244,0.04260046407580376,0.20680184662342072,0.04259911924600601,8.68745908544355e-11,1.343685539723083e-06
245,0.041892170906066895,0.20758098363876343,0.041889697313308716,1.1200726457438748e-10,2.4732046313147293e-06
246,0.031846784055233,0.20757532119750977,0.03184420242905617,1.1791306819830538e-10,2.582465640443843e-06
247,0.03887489065527916,0.2055235058069229,0.03887295722961426,1.1424023532713434e-10,1.934342208187445e-06
248,0.03729967772960663,0.20713655650615692,0.037297315895557404,1.0206196304762827e-10,2.361367933190195e-06
249,0.0339776910841465,0.20749716460704803,0.033976033329963684,9.827758051805802e-11,1.6564916904826532e-06
250,0.033518802374601364,0.20147651433944702,0.03351752087473869,6.606414720833342e-11,1.279934281228634e-06
251,0.03299412131309509,0.20806659758090973,0.03299250826239586,7.341732083387953e-11,1.6147683936651447e-06
252,0.03215686231851578,0.20759212970733643,0.032155878841876984,6.853698858444446e-11,9.853109759205836e-07
253,0.03495635837316513,0.2046203762292862,0.034954942762851715,9.410508483576052e-11,1.4157982377582812e-06
254,0.03185117617249489,0.2060815542936325,0.03184818476438522,9.593543320862707e-11,2.99154817184899e-06
255,0.03133668377995491,0.20813339948654175,0.03133537247776985,1.0423314988905474e-10,1.3118451533955522e-06
256,0.03300638869404793,0.20803409814834595,0.033004339784383774,9.877822865211883e-11,2.0489951566560194e-06
257,0.032117947936058044,0.20366112887859344,0.03211653605103493,8.976812349015262e-11,1.410272489010822e-06
258,0.03300077095627785,0.20641334354877472,0.032999079674482346,8.777257393122184e-11,1.6898575267987326e-06
259,0.03388528898358345,0.20486783981323242,0.03388306498527527,7.185087941286028e-11,2.223188403149834e-06
260,0.030469339340925217,0.20473019778728485,0.03046789951622486,6.492675841407447e-11,1.4402797887669294e-06
261,0.03165130317211151,0.20642077922821045,0.03165077045559883,7.92749338396348e-11,5.331042984835221e-07
262,0.031254976987838745,0.20754826068878174,0.03125210851430893,1.1774518859919425e-10,2.866961267500301e-06
263,0.03318844735622406,0.20537780225276947,0.033187177032232285,1.0230953584322577e-10,1.2700267006948707e-06
264,0.028175998479127884,0.2053322046995163,0.02817484736442566,7.636379723008346e-11,1.1506364216984366e-06
265,0.031208408996462822,0.20053154230117798,0.031205862760543823,1.0485078083544153e-10,2.546166570027708e-06
266,0.028203189373016357,0.20783793926239014,0.028201423585414886,7.990168943150522e-11,1.766687773852027e-06
267,0.031062601134181023,0.20466245710849762,0.03106078878045082,9.884165708129444e-11,1.8127316252503078e-06
268,0.02903153747320175,0.20632433891296387,0.02902883291244507,1.2584794317760384e-10,2.704560529309674e-06
